""
;Timestamp;Entero;Flotante
21241;2022-11-16 08:04:00;50;21.3
21242;2022-11-16 08:05:00;70;107.33
21243;2022-11-16 08:06:00;77;76.08
21244;2022-11-16 08:07:00;72;30.99
21245;2022-11-16 08:08:00;8;28.44
21246;2022-11-16 08:09:00;99;93.19
21247;2022-11-16 08:10:00;80;132.71
21248;2022-11-16 08:11:00;8;96.63
21249;2022-11-16 08:12:00;63;110.55
21250;2022-11-16 08:13:00;75;141.93
21251;2022-11-16 08:14:00;38;126.16
21252;2022-11-16 08:15:00;60;54.04
21253;2022-11-16 08:16:00;78;153.86
21254;2022-11-16 08:17:00;78;131.1
21255;2022-11-16 08:18:00;29;73.62
21256;2022-11-16 08:19:00;47;42.7
21257;2022-11-16 08:20:00;62;65.75
21258;2022-11-16 08:21:00;61;25.14
21259;2022-11-16 08:22:00;89;127.72
21260;2022-11-16 08:23:00;78;62.12
21261;2022-11-16 08:24:00;53;57.22
21262;2022-11-16 08:25:00;1;141.58
21263;2022-11-16 08:26:00;44;41.55
21264;2022-11-16 08:27:00;34;29.61
21265;2022-11-16 08:28:00;68;132.8
21266;2022-11-16 08:29:00;8;154.84
21267;2022-11-16 08:30:00;33;107.93
21268;2022-11-16 08:31:00;48;60.55
21269;2022-11-16 08:32:00;56;33.89
21270;2022-11-16 08:33:00;29;75.43
21271;2022-11-16 08:34:00;35;38.08
21272;2022-11-16 08:35:00;70;22.24
21273;2022-11-16 08:36:00;100;22.57
21274;2022-11-16 08:37:00;94;113.61
21275;2022-11-16 08:38:00;61;143.42
21276;2022-11-16 08:39:00;92;60.77
21277;2022-11-16 08:40:00;81;49.41
21278;2022-11-16 08:41:00;90;137.69
21279;2022-11-16 08:42:00;87;51.79
21280;2022-11-16 08:43:00;34;89.42
21281;2022-11-16 08:44:00;60;67.13
21282;2022-11-16 08:45:00;76;115.87
21283;2022-11-16 08:46:00;28;79.41
21284;2022-11-16 08:47:00;9;16.07
21285;2022-11-16 08:48:00;43;8.15
21286;2022-11-16 08:49:00;90;28.67
21287;2022-11-16 08:50:00;63;115.26
21288;2022-11-16 08:51:00;82;30.41
21289;2022-11-16 08:52:00;83;34.89
21290;2022-11-16 08:53:00;34;57.11
21291;2022-11-16 08:54:00;90;38.89
21292;2022-11-16 08:55:00;6;76.85
21293;2022-11-16 08:56:00;24;6.42
21294;2022-11-16 09:00:00;92;1.68
21295;2022-11-16 09:01:00;80;6.72
21296;2022-11-16 09:02:00;64;91.35
21297;2022-11-16 09:03:00;96;71.38
21298;2022-11-16 09:04:00;18;150.36
21299;2022-11-16 09:05:00;36;140.75
21300;2022-11-16 09:06:00;11;139.99
21301;2022-11-16 09:07:00;6;149.43
21302;2022-11-16 09:08:00;67;69.38
21303;2022-11-16 09:09:00;36;154.75
21304;2022-11-16 09:10:00;57;105.71
21305;2022-11-16 09:11:00;29;113.44
21306;2022-11-16 09:12:00;16;77.99
21307;2022-11-16 09:13:00;74;134.17
21308;2022-11-16 09:14:00;16;133.31
21309;2022-11-16 09:15:00;82;42.56
21310;2022-11-16 09:16:00;53;93.61
21311;2022-11-16 09:17:00;98;117.42
21312;2022-11-16 09:18:00;24;115.61
21313;2022-11-16 09:19:00;35;75.2
21314;2022-11-16 09:20:00;99;47.02
21315;2022-11-16 09:21:00;54;136.65
21316;2022-11-16 09:22:00;64;20.09
21317;2022-11-16 09:23:00;92;73.31
21318;2022-11-16 09:24:00;60;133.17
21319;2022-11-16 09:25:00;42;116.35
21320;2022-11-16 09:26:00;74;138.36
21321;2022-11-16 09:27:00;65;139.09
21322;2022-11-16 09:28:00;93;63.3
21323;2022-11-16 09:29:00;83;140.73
21324;2022-11-16 09:30:00;29;154.24
21325;2022-11-16 09:31:00;68;125.35
21326;2022-11-16 09:32:00;31;46.06
21327;2022-11-16 09:33:00;38;86.51
21328;2022-11-16 09:34:00;76;16.22
21329;2022-11-16 09:35:00;68;120.99
21330;2022-11-16 09:36:00;100;85.88
21331;2022-11-16 09:37:00;14;46.96
21332;2022-11-16 09:38:00;86;101.92
21333;2022-11-16 09:39:00;0;70.99
21334;2022-11-16 09:40:00;91;112.07
21335;2022-11-16 09:41:00;85;7.6
21336;2022-11-16 09:42:00;20;67.8
21337;2022-11-16 09:43:00;86;90.25
21338;2022-11-16 09:44:00;53;55.69
21339;2022-11-16 09:45:00;19;30.01
21340;2022-11-16 09:46:00;74;69.9
21341;2022-11-16 09:47:00;50;24.44
21342;2022-11-16 09:48:00;90;54.33
21343;2022-11-16 09:49:00;91;52.86
21344;2022-11-16 09:50:00;11;77.43
21345;2022-11-16 09:51:00;15;81.95
21346;2022-11-16 09:52:00;4;89.02
21347;2022-11-16 09:53:00;3;40.15
21348;2022-11-16 09:54:00;77;143.99
21349;2022-11-16 09:55:00;92;18.67
21350;2022-11-16 09:56:00;1;115.82
21351;2022-11-16 09:57:00;14;79.91
21352;2022-11-16 09:58:00;62;108.71
21353;2022-11-16 09:59:00;58;80.92
21354;2022-11-16 10:00:00;47;127.27
21355;2022-11-16 10:02:00;8;54.14
21356;2022-11-16 10:03:00;8;125.94
21357;2022-11-16 10:04:00;70;116.24
21358;2022-11-16 10:05:00;12;110.39
21359;2022-11-16 10:06:00;8;111.16
